id,market_id,selection_id,selection_name,odds,line
,128918563,0QA128918563#1401667568_13L88808Q13Q23,Safety,29.0,
,2_68316189,0HC68316189P550_3,LA Rams,1.90909091,5.5
,2_68316189,0HC68316189N550_1,GB Packers,1.90909091,-5.5
,3_68316189,0OU68316189O1950_1,Over,1.83333334,19.5
,3_68316189,0OU68316189U1950_3,Under,2.0,19.5
,1_68316189,0ML68316189_3,LA Rams,3.25,
,1_68316189,0ML68316189_1,GB Packers,1.3773585,
,2_68316190,0HC68316190P250_3,LA Rams,2.0,2.5
,2_68316190,0HC68316190N250_1,GB Packers,1.83333334,-2.5
,3_68316190,0OU68316190O750_1,Over,2.25,7.5
,3_68316190,0OU68316190U750_3,Under,1.68965518,7.5
,1_68316190,0ML68316190_3,LA Rams,2.95,
,1_68316190,0ML68316190_1,GB Packers,1.43478261,
,2_68316659,0HC68316659P250_3,LA Rams,2.1,2.5
,2_68316659,0HC68316659N250_1,GB Packers,1.76923077,-2.5
,3_68316659,0OU68316659O1250_1,Over,1.90909091,12.5
,3_68316659,0OU68316659U1250_3,Under,1.90909091,12.5
,1_68316659,0ML68316659_3,LA Rams,2.7,
,1_68316659,0ML68316659_1,GB Packers,1.5,
,2_68316660,0HC68316660P150_3,LA Rams,1.86956522,1.5
,2_68316660,0HC68316660N150_1,GB Packers,1.95238096,-1.5
,3_68316660,0OU68316660O750_1,Over,2.1,7.5
,3_68316660,0OU68316660U750_3,Under,1.76923077,7.5
,1_68316660,0ML68316660_3,LA Rams,2.55,
,1_68316660,0ML68316660_1,GB Packers,1.55555556,
,2_68316661,0HC68316661P150_3,LA Rams,1.95238096,1.5
,2_68316661,0HC68316661N150_1,GB Packers,1.86956522,-1.5
,3_68316661,0OU68316661O1050_1,Over,2.05,10.5
,3_68316661,0OU68316661U1050_3,Under,1.8,10.5
,1_68316661,0ML68316661_3,LA Rams,2.55,
,1_68316661,0ML68316661_1,GB Packers,1.55555556,
,2_64983927,0HC64983927P100_3,JAX Jaguars,1.86956522,1.0
